"accession_id"	"lineage"	"cross_references"	"collection_date"	"country"	"center_name"	"host"	"TAXON"	"coverage"	"phylogeny"
"LR991499"	""	""	"20200604"	"United Kingdom"	"Quadram Institute Bioscience"	"Homo sapiens"	"2697049"	"30.54184"	""
"LR963185"	"B.1.201"	""	"20200501"	"United Kingdom"	"Quadram Institute Bioscience"	"Homo sapiens"	"2697049"	"99.85272"	""
"LR991542"	""	""	"20200519"	"United Kingdom"	"Quadram Institute Bioscience"	"Homo sapiens"	"2697049"	"18.315804"	""
"OB991682"	"B.1.36.16"	""	"20201024"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"97.17085"	""
"OU118094"	"B.1.1.7"	""	""	"Germany"	"Robert Koch Institute"	"Homo sapiens"	"2697049"	"97.17897"	""
"OU386162"	"B.1.1.7"	""	"20210513"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"96.87793"	""
"OU385962"	"AY.46"	""	"20210610"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"86.50321"	""
"MW040633"	"B.1.2"	""	"20200831"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"MZ637318"	"AY.25"	""	"20210713"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"MZ271113"	"B.1.1.7"	""	"20210416"	"USA"	""	"Homo sapiens"	"2697049"	"98.52334"	""
"MZ000898"	"B.1.526"	""	"20210326"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"MZ072741"	"B.1"	""	"20210415"	"USA"	""	"Homo sapiens"	"2697049"	"96.47003"	""
"OV228917"	"AY.43"	""	"20211108"	"Germany"	"Robert Koch Institute"	"Homo sapiens"	"2697049"	"99.561005"	""
"OU733741"	"AY.4"	""	"20210826"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.75577"	""
"LR884141"	"B.1"	""	"20200507"	"Spain"	"HOSPITAL UNIVERSITARY 12 DE OCTUBRE"	"Homo sapiens"	"2697049"	"100.0"	""
"LR878045"	"B.1.1"	""	"20200401"	"Netherlands"	"ERASMUS MC, UNIVERISTY MEDICAL CENTER"	"Homo sapiens"	"2697049"	"100.0"	""
"LR884315"	"B.3"	""	"20200000"	"Switzerland"	"ETH ZURICH D-BSSE"	"Homo sapiens"	"2697049"	"99.76926"	""
"OU360698"	"P.1.14"	""	"20210622"	"Germany"	"Robert Koch Institute"	"Homo sapiens"	"2697049"	"99.98326"	""
"OU367296"	"B.1.466.2"	""	"20210309"	"Germany"	"Robert Koch Institute"	"Homo sapiens"	"2697049"	"97.7914"	""
"MZ449917"	""	""	"20210602"	"USA"	""	"Homo sapiens"	"2697049"	"96.30052"	""
"MW667478"	"B.1.2"	""	"20210125"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OU926621"	"AY.20"	""	"20210820"	"Germany"	"Robert Koch Institute"	"Homo sapiens"	"2697049"	"99.98982"	""
"OL617797"	"B.1.617.2"	""	"20211113"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"98.96302"	""
"MZ664012"	"R.1"	""	"20210127"	"Sierra Leone"	""	"Homo sapiens"	"2697049"	"100.0"	""
"MW805008"	"P.2"	""	"20210309"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OU594427"	"AY.4"	""	"20210723"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"98.661446"	""
"OU088610"	"C.36"	""	"20210301"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.595345"	""
"MZ213055"	"B.1.1.7"	""	"20210412"	"USA"	""	"Homo sapiens"	"2697049"	"99.86944"	""
"OL544461"	"AY.44"	""	"20210522"	"USA"	""	"Homo sapiens"	"2697049"	"99.75142"	""
"MZ711034"	"AY.103"	""	"20210726"	"USA"	"Minnesota Department of Health"	"Homo sapiens"	"2697049"	"96.61393"	""
"LR860605"	"B.1"	""	"20200000"	"Switzerland"	"ETH ZURICH D-BSSE"	"Homo sapiens"	"2697049"	"98.63225"	""
"LR862501"	"B.1.1.70"	""	"20200000"	"Switzerland"	"ETH ZURICH D-BSSE"	"Homo sapiens"	"2697049"	"99.76926"	""
"OK137677"	"B.1.1.7"	""	"20210809"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OL386812"	"AY.118"	""	"20211005"	"USA"	""	"Homo sapiens"	"2697049"	"99.99665"	""
"MZ320096"	"B.1.1.7"	""	"20210521"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"MZ729082"	"P.1.17"	""	"20210705"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"97.666855"	""
"MZ530180"	"AY.54"	""	"20210617"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"99.4894"	""
"MZ082322"	"P.1.10"	""	"20210417"	"USA"	"Minnesota Department of Health"	"Homo sapiens"	"2697049"	"99.50347"	""
"MZ998339"	"AY.103"	""	"20210805"	"USA"	""	"Homo sapiens"	"2697049"	"99.93285"	""
"HG997178"	"B.1.258"	""	"20201218"	"United Kingdom"	"Modernising Medical Microbiology"	"Homo sapiens"	"2697049"	"88.09245"	""
"OK454165"	"AY.119"	""	"20210917"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OK282465"	"AY.25"	""	"20210910"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OK353130"	"AY.118"	""	"20210922"	"USA"	"Broad Institute Genomic Center for Infectious Diseases"	"Homo sapiens"	"2697049"	"98.21069"	""
"OK188249"	"B.1.637"	""	"20210225"	"USA"	""	"Homo sapiens"	"2697049"	"99.99665"	""
"OV095869"	"AY.4"	""	"20211111"	"Switzerland"	"Swiss Pathogen Surveillance Platform (SPSP)"	"Homo sapiens"	"2697049"	"98.14914"	""
"OU050794"	"B.1.1.7"	""	"20210301"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.5951"	""
"OU308111"	"AY.4"	""	"20210528"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.26062"	""
"LR881815"	""	""	""	"France"	"URMITE"	"homo sapiens"	"2697049"	"NaN"	""
"LR963381"	"B.1.1.111"	""	"20200501"	"Zimbabwe"	"Quadram Institute Bioscience"	"Homo sapiens"	"2697049"	"98.49513"	""
"LR881825"	"B.1"	""	""	"France"	"URMITE"	"homo sapiens"	"2697049"	"99.996635"	""
"LR991205"	""	""	"20200504"	"United Kingdom"	"Quadram Institute Bioscience"	"Homo sapiens"	"2697049"	"6.522835"	""
"MZ699694"	"B.1.617.2"	""	"20210716"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"99.31571"	""
"LR992005"	"B.1.1.219"	""	"20200523"	"Poland"	"COVID-HUB-PL"	"Homo sapiens"	"2697049"	"99.98997"	""
"LR991954"	"B.1.1"	""	"20200510"	"Poland"	"COVID-HUB-PL"	"Homo sapiens"	"2697049"	"99.59201"	""
"LR991501"	""	""	"20200606"	"United Kingdom"	"Quadram Institute Bioscience"	"Homo sapiens"	"2697049"	"0.118141174"	""
"LR794600"	""	""	""	""	"URMITE"	""	"2697049"	"NaN"	""
"OK081018"	"AY.47"	""	"20210805"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"LR794523"	"B.1"	""	""	""	"URMITE"	""	"2697049"	"100.0"	""
"MZ315609"	"Q.4"	""	"20210510"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"LR883291"	"B.1.22"	""	"20200522"	"Netherlands"	"ERASMUS MC, UNIVERISTY MEDICAL CENTER"	"Homo sapiens"	"2697049"	"95.94735"	""
"OL345110"	"B.1.1.7"	""	"20210617"	"USA"	"FLDOH"	"Homo sapiens"	"2697049"	"99.519196"	""
"OU293998"	"AY.4"	""	"20210517"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"98.67849"	""
"MZ307138"	"P.1"	""	"20210510"	"USA"	""	"Homo sapiens"	"2697049"	"96.47245"	""
"MZ845517"	"AY.44"	""	"20210807"	"USA"	""	"Homo sapiens"	"2697049"	"99.31571"	""
"MZ867262"	"AY.44"	""	"20210721"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"HG994268"	"B.1.258"	""	"20201117"	"Poland"	"COVID-HUB-PL"	"Homo sapiens"	"2697049"	"99.44153"	""
"MZ697605"	"B.1.617.2"	""	"20210717"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"98.70805"	""
"MZ473423"	"B.1.311"	""	"20210119"	"USA"	""	"Homo sapiens"	"2697049"	"99.98321"	""
"OK008819"	"AY.47"	""	"20210805"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OU332364"	"AY.9"	""	"20210605"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"98.67849"	""
"MW779792"	""	""	"20210304"	"USA"	""	"Homo sapiens"	"2697049"	"64.23787"	""
"MW697802"	"B.1.517"	""	"20210211"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OU087566"	"B.1.1.7"	""	"20210308"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"96.931465"	""
"OU440061"	"AY.4"	""	"20210711"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.26389"	""
"OU492733"	"AY.4"	""	"20210728"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"95.81465"	""
"MZ260433"	"R.1"	""	"20210306"	"USA"	""	"Homo sapiens"	"2697049"	"98.09473"	""
"OL696565"	"AY.44"	""	"20211020"	"USA"	"Colorado Department of Public Health and Environment"	"Homo sapiens"	"2697049"	"97.8348"	""
"OU394564"	"AY.4"	""	"20210623"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.0678"	""
"MZ202220"	"B.1.1.7"	""	"20210418"	"USA"	"Chris Carlson"	"Homo sapiens"	"2697049"	"99.091034"	""
"MZ143352"	"B.1.1.519"	""	"20210421"	"USA"	""	"Homo sapiens"	"2697049"	"96.78939"	""
"MZ996263"	"AY.103"	""	"20210727"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OU605896"	"AY.4"	""	"20210817"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.59502"	""
"OU194333"	"B.1.1.7"	""	"20210303"	"Switzerland"	"Swiss Pathogen Surveillance Platform (SPSP)"	"Homo sapiens"	"2697049"	"99.65121"	""
"OU391530"	"B.1.1.7"	""	"20210505"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"95.8067"	""
"OU782303"	"AY.42"	""	"20210920"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.595184"	""
"OU289110"	"AY.4"	""	"20210522"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.595184"	""
"OU188916"	"B.1.1.7"	""	"20210302"	"Switzerland"	"Swiss Pathogen Surveillance Platform (SPSP)"	"Homo sapiens"	"2697049"	"100.0"	""
"OL508414"	"AY.120.1"	""	"20211108"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"99.98994"	""
"MW925312"	"B.1.2"	""	"20210106"	"USA"	"HudsonAlpha Genome Sequencing Center"	"Homo sapiens; male, age81"	"2697049"	"100.0"	""
"MW882647"	"B.1"	""	"20201222"	"USA"	""	"Homo sapiens"	"2697049"	"99.99665"	""
"MZ392088"	"B.1.1.7"	""	"20210524"	"USA"	""	"Homo sapiens"	"2697049"	"99.40285"	""
"MZ888481"	"AY.62"	""	"20210805"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"MW080237"	"B.1.426"	""	"20200505"	"USA"	"Utah Public Health Laboratory"	"Homo sapiens"	"2697049"	"97.189575"	""
"OU208818"	"B.1.1.7"	""	"20210318"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.5951"	""
"HG999082"	"B.1.177"	""	"20201216"	"United Kingdom"	"Modernising Medical Microbiology"	"Homo sapiens"	"2697049"	"96.62241"	""
"MZ235444"	"B.1.1.7"	""	"20210306"	"USA"	""	"Homo sapiens; Male, age 8"	"2697049"	"98.50651"	""
"MZ968370"	"AY.4"	""	"20210720"	"USA"	""	"Homo sapiens"	"2697049"	"99.989944"	""
"MZ033120"	"B.1.1.7"	""	"20210406"	"USA"	""	"Homo sapiens"	"2697049"	"99.95644"	""
"MZ257359"	"B.1.2"	""	"20210321"	"USA"	""	"Homo sapiens"	"2697049"	"97.27793"	""
"LR824378"	"B.1"	""	"20200000"	"Switzerland"	"ETH ZURICH D-BSSE"	"Homo sapiens"	"2697049"	"99.76591"	""
"LR824271"	"B.1"	""	"20200000"	"Switzerland"	"ETH ZURICH D-BSSE"	"Homo sapiens"	"2697049"	"99.76591"	""
"MW864918"	"B.1.1.7"	""	"20210307"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OU118797"	"B.1.351"	""	""	"Germany"	"Robert Koch Institute"	"Homo sapiens"	"2697049"	"99.20129"	""
"OU390960"	"AY.4"	""	"20210606"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"98.57812"	""
"MW693226"	"B.1.429"	""	"20210210"	"USA"	""	"Homo sapiens"	"2697049"	"96.67494"	""
"MZ698336"	"AY.44"	""	"20210720"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"99.48343"	""
"MZ835895"	"AY.44"	""	"20210726"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"HG999201"	"B.1.1.7"	""	"20201229"	"United Kingdom"	"Modernising Medical Microbiology"	"Homo sapiens"	"2697049"	"97.61076"	""
"MZ194130"	"B.1.1.7"	""	"20210421"	"USA"	""	"Homo sapiens"	"2697049"	"99.99664"	""
"LR991149"	"B"	""	"20200428"	"United Kingdom"	"Quadram Institute Bioscience"	"Homo sapiens"	"2697049"	"76.62564"	""
"LR963046"	"B.1.329"	""	""	"Germany"	"Heinrich-Pette-Institute, Leibniz-Institute for experimental Virology"	"Homo sapiens"	"2697049"	"100.0"	""
"LR794642"	"B.1"	""	""	""	"URMITE"	""	"2697049"	"100.0"	""
"OU821420"	"AY.4"	""	"20210929"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.17364"	""
"LR991543"	""	""	"20200518"	"United Kingdom"	"Quadram Institute Bioscience"	"Homo sapiens"	"2697049"	"4.4390106"	""
"OL848764"	""	""	"20210330"	"USA"	"California Department of Public Health"	"Homo sapiens"	"2697049"	"96.1192"	""
"MT063746"	""	""	"20170317"	"Myanmar"	"PREDICT Consortium"	"Hipposideros grandis"	"2717670"	"100.0"	""
"OL556763"	"AY.5.3"	""	"20211028"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"100.0"	""
"MW634589"	"B.1.2"	""	"20201227"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OK441538"	"AY.119"	""	"20210930"	"USA"	"Broad Institute Genomic Center for Infectious Diseases"	"Homo sapiens"	"2697049"	"99.97321"	""
"LC643034"	"B.1.1.7"	""	"20210500"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""
"MW702892"	"B.1.427"	""	"20201228"	"USA"	"CZ Biohub, UCSF"	"Homo sapiens"	"2697049"	"97.66202"	""
"MZ968373"	"AY.54"	""	"20210720"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"HG996811"	"B.1.258"	""	"20201118"	"United Kingdom"	"Modernising Medical Microbiology"	"Homo sapiens"	"2697049"	"98.03659"	""
"OV133667"	"B.1.617.2"	""	"20210920"	"Slovakia"	"Laboratory of Genomics and Bioinformatics, Comenius University Science Park"	"Homo sapiens"	"2697049"	"98.18668"	""
"HG994213"	"B.1.1.219"	""	"20200805"	"Poland"	"COVID-HUB-PL"	"Homo sapiens"	"2697049"	"99.89299"	""
"HG997016"	"B.1.1.7"	""	"20210109"	"United Kingdom"	"Modernising Medical Microbiology"	"Homo sapiens"	"2697049"	"97.87177"	""
"OK364560"	"AY.103"	""	"20210904"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OL819252"	"AY.25"	""	"20211130"	"USA"	"Broad Institute Genomic Center for Infectious Diseases"	"Homo sapiens"	"2697049"	"99.9933"	""
"OU379593"	"AY.4"	""	"20210626"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.591835"	""
"OL665919"	"AY.119"	""	"20211028"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"99.84222"	""
"OU236133"	"B.1.1.7"	""	"20210401"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.5951"	""
"OA981188"	"B.1.1.44"	""	"20200601"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.59536"	""
"OU118394"	"B.1.1.7"	""	""	"Germany"	"Robert Koch Institute"	"Homo sapiens"	"2697049"	"99.97639"	""
"OU134531"	"B.1.1.7"	""	""	"Germany"	"Robert Koch Institute"	"Homo sapiens"	"2697049"	"100.0"	""
"MW769747"	"B.1.1.7"	""	"20210120"	"Spain"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OK266177"	"AY.14"	""	"20210807"	"USA"	""	"Homo sapiens"	"2697049"	"99.30872"	""
"MZ928942"	"AY.44"	""	"20210811"	"USA"	""	"Homo sapiens"	"2697049"	"91.75839"	""
"MZ213221"	"B.1.1.7"	""	"20210412"	"USA"	""	"Homo sapiens"	"2697049"	"99.65839"	""
"LR814199"	"B.1.1"	""	"20200501"	"United Kingdom"	"Quadram Institute Bioscience"	"Homo sapiens"	"2697049"	"99.04329"	""
"LR861059"	"B.1.8"	""	"20200000"	"Switzerland"	"ETH ZURICH D-BSSE"	"Homo sapiens"	"2697049"	"99.76926"	""
"OK034672"	"AY.119"	""	"20210826"	"USA"	"Broad Institute Genomic Center for Infectious Diseases"	"Homo sapiens"	"2697049"	"100.0"	""
"LR824454"	"B.1"	""	"20200000"	"Switzerland"	"ETH ZURICH D-BSSE"	"Homo sapiens"	"2697049"	"99.56526"	""
"LR877914"	"B.1"	""	"20200326"	"Netherlands"	"ERASMUS MC, UNIVERISTY MEDICAL CENTER"	"Homo sapiens"	"2697049"	"100.0"	""
"MW865770"	"B.1.429"	""	"20210322"	"USA"	""	"Homo sapiens"	"2697049"	"99.34954"	""
"LR721769"	""	""	""	""	"Swedish University of Agricultural Sciences"	""	"215681"	"100.0"	""
"LR721663"	""	""	""	""	"Swedish University of Agricultural Sciences"	""	"215681"	"100.0"	""
"LR794566"	"B.1"	""	""	""	"URMITE"	""	"2697049"	"100.0"	""
"LR794466"	"B.1.1"	""	""	""	"URMITE"	""	"2697049"	"100.0"	""
"LC565411"	"B.1.1"	""	"20200400"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""
"LR882109"	"B.1.177.44"	""	"20200000"	"Switzerland"	"ETH ZURICH D-BSSE"	"Homo sapiens"	"2697049"	"99.76926"	""
